word,song,original_deets,kb_deets,original,kb
kiss,alejandro,Lady Gaga,2010,"Don't wanna kiss, don't wanna touch","Don't wanna miss, don't want too much"
smoke,alejandro,Lady Gaga,2010,Just smoke my cigarette and hush,Just walk away from me and hush
smoke,alejandro,Lady Gaga,2010,"Ale-Alejandro, Ale-Alejandro (Just smoke my cigarette and hush)",Ale-ale-jandro
touch,alejandro,Lady Gaga,2010,"Don't wanna kiss, don't wanna touch","Don't wanna miss, don't want too much"
touch,alejandro,Lady Gaga,2010,Don't wanna touch,Don't want too much
touch,alejandro,Lady Gaga,2010,"(Don't wanna kiss, don't wanna touch) Alejandro, Alejandro",Alejandro
gay,born this way,Lady Gaga,2011,"No matter gay, straight, or bi",*cuts verse*
lesbian,born this way,Lady Gaga,2011,"Lesbian, transgender life",*cuts verse*
transgender,born this way,Lady Gaga,2011,"Lesbian, transgender life",*cuts verse*
cigarette,paparazzi,Lady Gaga,2010,Eyeliner and cigarettes,Eyeliner and all the rest
shit,paparazzi,Lady Gaga,2010,Snap snap to that shit on the radio,"(Stop, stop) That song on the radio"
drink,telephone,Lady Gaga,2010,"And I cannot text you with a drink in my hand, eh",Can not text you when i'm going to dance-eh
sippin,telephone,Lady Gaga,2010,Cause I'm out in the club and I'm sipping that bubb,"I'm out in the club, meeting that grub"
die,summertime sadness,Lana Del Rey,2014,"I know if I go, I'll die happy tonight","I know if I go, I'll be happy tonight"
god,summertime sadness,Lana Del Rey,2014,"Oh, my God, I feel it in the air","Oh, my gosh, I feel it in the air"
high,summertime sadness,Lana Del Rey,2014,"High heels off, I'm feelin' alive","New shoes on, I'm feeling alive"
kiss,summertime sadness,Lana Del Rey,2014,Kiss me hard before you go,Listen hard before you go
god,you say,Lauren Daigle,2019,"You have every failure, God",*cuts verse*
bed,i like me better,Lauv,2018,"Waking up in this bed next to you swear the room, yeah, it got no ceiling","Hanging out on the couch next to you, swear the room, yeah, it got no ceiling"
damn,i like me better,Lauv,2018,Damn,Yeah
drunk,i like me better,Lauv,2018,To be drunk and in love in New York City,To be young and in love in New York City
kill,i'm so tired...,Lauv & Troye Sivan,2019,"Strangers, killing my lonely nights with strangers","Strangers, watching them all pass by those strangers"
man,steal my sunshine,Len,2001,"Man, I've never seen Sharon look so bad before",*cuts verse*
hip,summer girls,LFO,2001,Always been hip to the B-boy style,Always been hip to the be -ball style
boob,old town road,Lil Nas X,2019,Bull ridin' and boobies,Bull ridin' and bougie
booty,old town road,Lil Nas X,2019,Wrangler on my booty,Wrangler like on TV
bitch,truth hurts,Lizzo,2019,"I just took a DNA test, turns out I'm 100% that bitch","I just took a DNA test, turns out I'm 100% that kid"
bitch,truth hurts,Lizzo,2019,"You coulda had a bad bitch, non-committal","You coulda had a good friend, non-committal"
bitch,truth hurts,Lizzo,2019,"Hey, I'm glad you're back with your bitch","Hey, I'm glad you're back with your friends"
bitch,truth hurts,Lizzo,2019,"I don't play tag, bitch, I been it (One time)","I don't play tag, yeah, I been it (One time)"
fuck,truth hurts,Lizzo,2019,"We don't fuck with lies (Two times), we don't do goodbyes (Woo)","We don't deal with lies (Two times), we don't do goodbyes (Woo)"
man,truth hurts,Lizzo,2019,New man on the Minnesota Vikings (Minnesota Vikings),"New ones, like the Minnesota Vikings"
men,truth hurts,Lizzo,2019,Why men great 'til they gotta be great?,Why you great 'til they gotta be great?
drank,party rock anthem,LMFAO,2012,Where the drank? I gots to know,What the track I gots to know
blood,royals,Lorde,2014,"Bloodstains, ball gowns, trashin' the hotel room","Grass stains, ball gowns, trashin' the hotel room"
bloodstain,royals,Lorde,2014,"Bloodstains, ball gowns, trashin' the hotel room","Grass stains, ball gowns, trashin' the hotel room"
drink,7 years,Lukas Graham,2016,By eleven smoking herb and drinking burning liquor,By eleven hanging out and thinking we were slicker
liquor,7 years,Lukas Graham,2016,By eleven smoking herb and drinking burning liquor,By eleven hanging out and thinking we were slicker
smoking,7 years,Lukas Graham,2016,By eleven smoking herb and drinking burning liquor,By eleven hanging out and thinking we were slicker
woman,7 years,Lukas Graham,2016,My woman brought children for me,I hope I have children for me?
bottle,good  old days,Macklemore,2018,Wish I put the bottle back on that shelf,Wish I put those things back on that shelf
drink,good  old days,Macklemore,2018,Wish I didn't drink all of that flask first,Wish I didn't think all of that stuff first
ass,downtown,Macklemore & Ryan Lewis,2016,And a bad little mama with her ass in my face,And a cute little mama with a smile on her face
ball,downtown,Macklemore & Ryan Lewis,2016,Tip-toeing in the street like ballet,Tip-toeing through the streets like Dally
body,downtown,Macklemore & Ryan Lewis,2016,"Killing the game, 'bout to catch a body",*cuts verse*
bullet,downtown,Macklemore & Ryan Lewis,2016,"Stone washed, so raw, moped like a bullet, oh, yee-ow","Stone washed so raw, moped like a record"
damn,downtown,Macklemore & Ryan Lewis,2016,"Cause I'm too damn quick, I'm too damn slick","Because I'm too too quick, I'm too too slick"
dope,downtown,Macklemore & Ryan Lewis,2016,Dope,Nope
fuck,downtown,Macklemore & Ryan Lewis,2016,"I went to the moped store, said ""Fuck it""",I went to the moped store and said what if
fuck,downtown,Macklemore & Ryan Lewis,2016,"Fuck a bus pass, you got a moped, man",*cuts verse*
fuck,downtown,Macklemore & Ryan Lewis,2016,"""Going thirty-eight, Dan, chill the fuck out","Going thirty-eight man, you need to chill out"
god,downtown,Macklemore & Ryan Lewis,2016,"Goddamn, man, everybody got Bugattis",*cuts verse*
hell,downtown,Macklemore & Ryan Lewis,2016,"Eight hundred cash, that's a hell of a deal",800 cash it’s a steal of a deal
hell,downtown,Macklemore & Ryan Lewis,2016,"Mow your damn lawn and sit the hell down""",Mow your own lawn and sit right back down
hella,downtown,Macklemore & Ryan Lewis,2016,But I'ma keep it hella 1987,*cuts verse*
hella,downtown,Macklemore & Ryan Lewis,2016,"I'm stunting on everybody, hella raw, pass the Wasabi",*cuts verse*
kill,downtown,Macklemore & Ryan Lewis,2016,"Killing the game, 'bout to catch a body",*cuts verse*
man,downtown,Macklemore & Ryan Lewis,2016,"Goddamn, man, everybody got Bugattis",*cuts verse*
man,downtown,Macklemore & Ryan Lewis,2016,"Fuck a bus pass, you got a moped, man",*cuts verse*
pimp,downtown,Macklemore & Ryan Lewis,2016,Sounding like a French pimp from back in the day,Stunting like a Fresh Prince you remember me
scrotum,downtown,Macklemore & Ryan Lewis,2016,I'm so low that my scrotum's almost dragging up on the concrete,*cuts verse*
shit,downtown,Macklemore & Ryan Lewis,2016,"There's layers to this shit, player, tiramisu, tiramisu",There's layers to this like tiramisu tiramisu
ass,thrift shop,Macklemore & Ryan Lewis,2013,"The people like, ""Damn, that's a cold ass honkey""","The people like “Hey, the guy on the marquee!”"
bitch,thrift shop,Macklemore & Ryan Lewis,2013,"And saving my money and I'm hella happy; that’s a bargain, bitch","Saving my money and I’m super happy, that’s a bargain, yeah"
bitch,thrift shop,Macklemore & Ryan Lewis,2013,"50 dollars for a T-shirt, that's just some ignorant bitch shit","Fifty dollars for a t-shirt, that’s just silly overpriced"
cock,thrift shop,Macklemore & Ryan Lewis,2013,"Walk into the club like, ""What up? I got a big cock""","Now walk into the club like ""What up?! I got a hit song!"""
damn,thrift shop,Macklemore & Ryan Lewis,2013,Ice on the fringe is so damn frosty,Ice on the fringe is so so frosty
damn,thrift shop,Macklemore & Ryan Lewis,2013,I'll wear your granddad's clothes (Damn right),I wear your granddad's clothes
fuck,thrift shop,Macklemore & Ryan Lewis,2013,This is fucking awesome,This is really awesome
fuck,thrift shop,Macklemore & Ryan Lewis,2013,"Fuck it, coppin' it, washin' it, 'bout to go and get some compliments","Bag it, poppin' it, washin' it, ‘bout to go and get some compliments"
fuck,thrift shop,Macklemore & Ryan Lewis,2013,"Bummy and grungy, fuck it man, I am stunting and flossin'","Bummy and grungy, wear it man, I am stunting and flossing and"
fuck,thrift shop,Macklemore & Ryan Lewis,2013,This is fucking awesome,This is really awesome
fuck,thrift shop,Macklemore & Ryan Lewis,2013,"Second hand and I'll rock that, motherfucker",Second hand and I’ll rock that like it's awesome
fuck,thrift shop,Macklemore & Ryan Lewis,2013,The built-in onesie with the socks on the motherfucker,The built-in onesie with the socks on that really awesome
fuck,thrift shop,Macklemore & Ryan Lewis,2013,I hit the party and they stop in that motherfucker,I hit the party and they stop because I'm really awesome
hella,thrift shop,Macklemore & Ryan Lewis,2013,"Rollin' in hella deep, headed to the mezzanine","Rolling in super deep, headed to the mezzanine"
hella,thrift shop,Macklemore & Ryan Lewis,2013,"And saving my money and I'm hella happy; that’s a bargain, bitch","Saving my money and I’m super happy, that’s a bargain, yeah"
hella,thrift shop,Macklemore & Ryan Lewis,2013,"They be like, ""Oh, that Gucci? That's hella tight""","They be like “Oh that Gucci, that’s really tight”"
hella,thrift shop,Macklemore & Ryan Lewis,2013,That shirt's hella dough,That shirt’s really dough
hella,thrift shop,Macklemore & Ryan Lewis,2013,And having the same one as six other people in this club is a hella don't,And having the same one as six other people in this club is a major don’t
hella,thrift shop,Macklemore & Ryan Lewis,2013,"Man, you hella won't! Man, you hella won't!","Man you really won’t, man you really won't"
man,thrift shop,Macklemore & Ryan Lewis,2013,"Bummy and grungy, fuck it man, I am stunting and flossin'","Bummy and grungy, wear it man, I am stunting and flossing"
man,thrift shop,Macklemore & Ryan Lewis,2013,"Hello, hello, my ace man, my mellow","Hello, hello, my ace man, my fellow"
man,thrift shop,Macklemore & Ryan Lewis,2013,"Man, you hella won't! Man, you hella won't!","Man you really won’t, man you really won't"
piss,thrift shop,Macklemore & Ryan Lewis,2013,Piss...,(Ewwwwww...)
shit,thrift shop,Macklemore & Ryan Lewis,2013,"Nah, I'm just pumped, I bought some shit from a thrift shop","I'm so pumped, I bought some clothes from the thrift shop"
shit,thrift shop,Macklemore & Ryan Lewis,2013,"But shit, it was 99 cents!","But hey, it was 99 cents!"
shit,thrift shop,Macklemore & Ryan Lewis,2013,"50 dollars for a T-shirt, that's just some ignorant bitch shit","Fifty dollars for a t-shirt, that’s just silly overpriced"
shit,thrift shop,Macklemore & Ryan Lewis,2013,I call that getting-swindled-and-pimped shit,"I call that getting swindled and tricked, yeah"
hell,4 minutes,Madonna,2008,"The road to hell is paved with good intentions, yeah","The road to heaven paved with good intentions, yeah"
die,rude,MAGIC!,2015,You say I'll never get your blessin' till the day I die,You say I'll never get your blessing till the day I fly
blow,lean on,Major Lazer,2015,"Blow a kiss, fire a gun","Blow a kiss, you're the one"
bitch,uptown funk,Mark Ronson,2015,"Bitch, say my name you know who I am",Say my name you know who I am
damn,uptown funk,Mark Ronson,2015,I'm too hot (Hot damn),I'm too hot (hot yeah)
freak,uptown funk,Mark Ronson,2015,"If you freaky then own it (Doh, doh, doh, doh, doh, doh, doh, doh)",*cuts verse*
liquor,uptown funk,Mark Ronson,2015,"Fill my cup, put some liquor in it","Fill my cup, put some water in it"
sex,uptown funk,Mark Ronson,2015,"If you sexy then flaunt it (Doh, doh, doh, doh, doh, doh, doh, doh)",*cuts verse*
cut,cold,Maroon 5,2017,"Now you tryna cut me off like a light switch, yeah",*cuts verse*
fuck,cold,Maroon 5,2017,You know how to fuck with me,You know how to confuse me
kiss,cold,Maroon 5,2017,"Distant, when we're kissing","Distant, how we're living"
sleep,cold,Maroon 5,2017,Sleeping up under the covers,"Slippin' up, you're undiscovered"
sleep,cold,Maroon 5,2017,Thinking that I'm sleeping on the four-letter word,*cuts verse*
sleep,cold,Maroon 5,2017,But the four-letter word don't sleep,*cuts verse*
bed,don't wanna know,Maroon 5,2017,"Even in my head, you're still in my bed",Even in my head all the things you said
drink,don't wanna know,Maroon 5,2017,"And the more I drink, the more I think about you",And the more I think the more I think about you
touch,don't wanna know,Maroon 5,2017,"Do he lay it down for you, touch your poona like this?",*cuts verse*
drunk,girls like you,Maroon 5,2018,Maybe I know that I'm drunk,Maybe I know that I'm done
shit,girls like you,Maroon 5,2018,Maybe you've taken my shit for the last time (yeah),"Maybe you've taken my stuff for the last time, yeah"
pill,love somebody,Maroon 5,2014,"And it's a hard pill for you to swallow, yeah","And it's a hard fact for you to swallow, yeah"
touch,love somebody,Maroon 5,2014,I really wanna touch somebody,I really wanna love somebody
damn,makes me wonder,Maroon 5,2007,God damn my spinning head,Can't stop my spinning head
fuck,makes me wonder,Maroon 5,2007,And it really makes me wonder if I ever gave a fuck about you,"And it really makes me wonder, if I ever gave a thought about you"
god,makes me wonder,Maroon 5,2007,God damn my spinning head,Can't stop my spinning head
thigh,makes me wonder,Maroon 5,2007,The way it felt between your thighs,Way it felt to hearing lies
drunk,moves like jagger,Maroon 5,2012,Kiss me till you're drunk and I'll show you,"Dance until were done, and I'll show you"
kiss,moves like jagger,Maroon 5,2012,Kiss me till you're drunk and I'll show you,"Dance until were done, and I'll show you"
naked,moves like jagger,Maroon 5,2012,"I put on a show, now I'm naked","I put on a show, now we're Jayden"
shit,moves like jagger,Maroon 5,2012,I don't give a shit,I don't even care
tongue,moves like jagger,Maroon 5,2012,Take me by the tongue and I'll know you (Uh),"Take me by the hand, and I'll know you"
ball,payphone,Maroon 5,2012,"Don't need my name on my shirt, you can tell that I'm ballin'",*cuts verse*
ballin,payphone,Maroon 5,2012,"Don't need my name on my shirt, you can tell that I'm ballin'",*cuts verse*
blew,payphone,Maroon 5,2012,Telling me I changed since I blew up or whatever you call it,*cuts verse*
fuck,payphone,Maroon 5,2012,"One more fucking love song, I'll be sick, oh",One more love song I'll be sick
fuck,payphone,Maroon 5,2012,"Man, fuck that shit",*cuts verse*
man,payphone,Maroon 5,2012,"Man, fuck that shit",*cuts verse*
shit,payphone,Maroon 5,2012,All those fairytales are full of shit,All those fairytales are full of air
shit,payphone,Maroon 5,2012,So you can go take that little piece of shit with you,*cuts verse*
shit,friends,Marshmello & Anne-Marie,2018,"Don't mess it up, talking that shit","Don't mess it up, talking like this"
shit,friends,Marshmello & Anne-Marie,2018,Get that shit inside your head,*cuts verse*
shit,be without you,Mary J. Blige,2006,(Yes) We got real shit,"Yes, we got real, yeah, yes"
ass,family affair,Mary J. Blige,2003,So grab somebody and get your ass on the dance floor,"So grab somebody and get yourself on the dance floor (Dance, dance)"
bitch,all about that bass,Meghan Trainor,2015,Go ahead and tell them skinny bitches that,Go ahead and tell them skinny ladies that
booty,all about that bass,Meghan Trainor,2015,"She says, boys like a little more booty to hold at night","She says, ""Don't let it keep you at home in your room at night."""
booty,all about that bass,Meghan Trainor,2015,"(That booty, booty, uh, that booty booty)",*cuts verse*
booty,all about that bass,Meghan Trainor,2015,"Hey, I'm bringing booty back",Hey! I'm bringing it all back
shit,all about that bass,Meghan Trainor,2015,"We know that shit ain't real, come on now, make it stop","We know that it ain't real, c'mon now, make it stop"
drink,me too,Meghan Trainor,2016,I never pay for my drinks,I never pay for a thing
neck,me too,Meghan Trainor,2016,What's that icy thang hangin' 'round my neck? Mmm,What's that icy thing hangin' 'round my neck?
sex,me too,Meghan Trainor,2016,Who's that sexy thang I see over there?,Who's that pretty girl I see over there?
hips,no,Meghan Trainor,2016,Lick your lips and swing your hips,"Move your lips, say it how it is"
man,no,Meghan Trainor,2016,"If I want a man, then I'ma get a man","If I wanna dance, then I'mma go dance"
shit,cooler than me,Mike Posner,2011,And you wear 'em around like it ain't shit,And you wear them around like it ain't it
bed,please don't go,Mike Posner,2011,From my bed and start another day,From my head and start another day
lips,please don't go,Mike Posner,2011,We'll just keep running from tomorrow with our lips locked,We'll just keep running from tomorrow with our hearts locked
faith,the climb,Miley Cyrus,2009,"Keep your faith, keep your faith",*cuts verse*
woman,just a dream,Nelly,2011,"My woman, oh I miss her, when will I learn?","No more will I miss her, when will I learn?"
kill,animal,Neon Trees,2011,You're killin' me now,You're losing me now
drug,everybody talks,Neon Trees,2013,Hey honey you could be my drug,*cuts verse*
lips,everybody talks,Neon Trees,2013,And then she made my lips hurt,And then she made my heart hurt
overdose,everybody talks,Neon Trees,2013,Too much could be an overdose,*cuts verse*
shit,everybody talks,Neon Trees,2013,"Oh my, my shit",Oh my my sugar
hellish,jealous,Nick Jonas,2015,It's my right to be hellish,It's my right to be jealous
puff,jealous,Nick Jonas,2015,And I'm puffing my chest,And I'm buffing my chest
sex,jealous,Nick Jonas,2015,Cause you're too sexy beautiful,"Cause you're too pretty, beautiful"
hell,far away,Nickelback,2007,All of Hell to hold your hand,All of it to hold your hand
dammit,gotta be somebody,Nickelback,2009,"And dammit, this feels too right",And you know this feels too right
bitch,ice box,Omarion,2007,"Omarion, bitch",*cuts verse*
damn,ice box,Omarion,2007,"Damn these memories (Uh), and it's crazy (Uh)",That means memories and it's crazy
damn,ice box,Omarion,2007,"I said I really wanna work this out, damn girl I'm trying (I'm trying, yeah)","I said, I really wanna work this out, yo girl, I'm tryin'"
damn,ice box,Omarion,2007,"I said I really wanna work this out, damn girl I'm trying","I said, I really wanna work this out, yo girl, I'm tryin'"
ice,ice box,Omarion,2007,I got this ice box where my heart used to be (But I got this),But I got this ice box where my heart used to be
nigga,ice box,Omarion,2007,"Good with ma, good with pa, cool with all my niggas (My niggas)","Good with ma, good with pa, cool with all my friends"
dirty,best song ever,One Direction,2014,Said I had a dirty mouth,Said I had a crooked smile
kiss,best song ever,One Direction,2014,But she kissed me like she meant it,But she said it like she meant it
man,drag me down,One Direction,2016,The shell of a man who could never be his best,The shell of a guy who could never be his best
die,story of my life,One Direction,2014,It seems to me that when I die,It seems to me that when I go
dead,all the right moves,OneRepublic,2010,Over the world that's dead,Over the world that's lead
kill,stop and stare,OneRepublic,2008,And every glance is killing me,And every glance is hurting me
damn,don't let me get me,P!nk,2003,Tired of being compared to damn Britney Spears,Tired of being compared to darn Britney Spears
ass,get the party started,P!nk,2002,"I'll be burning rubber, you'll be kissing my ass","I'll be burnin' rubber, you'll be watchin' me pass"
kiss,get the party started,P!nk,2002,"I'll be burning rubber, you'll be kissing my ass","I'll be burnin' rubber, you'll be watchin' me pass"
sleep,just give me a reason,P!nk,2013,Now you've been talking in your sleep,Now you've been talking out to me
victim,just give me a reason,P!nk,2013,And I your willing victim,And I your willing person
cut,please don't leave me,P!nk,2009,I can cut you into pieces,I could break your heart in pieces
punch,please don't leave me,P!nk,2009,You're my perfect little punching bag,You're the perfect one I wanna see
drink,so what,P!nk,2009,"So I'm gonna drink my money, I'm not gonna pay his rent (Nope!)","So I'm gonna spend my money, I'm not gonna pay his rent"
shit,so what,P!nk,2009,And gave it to Jessica Simps (Shit!),And gave it to Jessica Simps
punch,who knew,P!nk,2008,I'd stand up and punch them out,I'd stand up and call them loud
pimp,"hey look ma, i made it",Panic! at the Disco,2019,And my pimp's a record label,And I'm on a record label
kill,high hopes,Panic! at the Disco,2019,Shooting for the stars when I couldn't make a killing,Shooting for the stars when you knew that I was willing
christian,feel this moment,Pitbull,2013,"Christian Gris, nice to meet ya","Meet and greet, nice to meet ya"
bless,timber,Pitbull & Kesha,2014,"Blessed to say, money ain't a thing",*cuts verse*
booty,timber,Pitbull & Kesha,2014,"Face down, booty up (Timber)",*cuts verse*
bras,timber,Pitbull & Kesha,2014,Twerking in their bras and thongs (Timber),*cuts verse*
clothes,timber,Pitbull & Kesha,2014,"I have ‘em like Miley Cyrus, clothes off",*cuts verse*
club,timber,Pitbull & Kesha,2014,"Club jumping like Lebron, now Voli",*cuts verse*
damn,timber,Pitbull & Kesha,2014,"Nah, it's just me, ain't a damn thing changed",*cuts verse*
drink,better now,Post Malone,2018,Drinkin' Henny and I'm tryna forget,Thinkin' heavy and I'm tryna forget
henny,better now,Post Malone,2018,Drinkin' Henny and I'm tryna forget,Thinkin' heavy and I'm tryna forget
shit,better now,Post Malone,2018,But I can't get this shit outta my head,But I can't get this stuff outta my head
addict,congratulations,Post Malone,2017,"I be itching like a addict, yeah","I be itching gotta have it, yeah"
ball,congratulations,Post Malone,2017,"Everyone countin' on me, drop the ball, yuh (Yeah-yeah-yeah, yeah-yeah-yeah)",*cuts verse*
ball,congratulations,Post Malone,2017,"I pick up the rock and I ball, baby (Ball)",*cuts verse*
ball,congratulations,Post Malone,2017,My life is like a ball game (Ball game),*cuts verse*
bitch,congratulations,Post Malone,2017,"I'm surrounded, twenty bad bitches, yeah","I'm surrounded by all my friends, yeah"
champagne,congratulations,Post Malone,2017,"Big rings (Ooh), champagne (Champagne)",*cuts verse*
fuck,congratulations,Post Malone,2017,"If you fuck with winning, put your lighters to the sky","If you go with winning, put your hands up in the sky"
lighter,congratulations,Post Malone,2017,"If you fuck with winning, put your lighters to the sky","If you go with winning, put your hands up in the sky"
lighters,congratulations,Post Malone,2017,"If you fuck with winning, put your lighters to the sky","If you go with winning, put your hands up in the sky"
nigga,congratulations,Post Malone,2017,"Young nigga, young nigga, graduation (Yeah)",*cuts verse*
pot,congratulations,Post Malone,2017,"Pot so big, call it Super Bowl (Super Bowl)",*cuts verse*
shit,congratulations,Post Malone,2017,Said shit done changed ever since we was on,Said things done changed ever since we was on
ecstasy,diamonds,Rihanna,2013,A vision of ecstasy,A vision of learning
molly,diamonds,Rihanna,2013,As we moonshine and molly,As we sing in melodey
moonshine,diamonds,Rihanna,2013,As we moonshine and molly,As we sing in melodey
crazy,disturbia,Rihanna,2009,(I'm goin' crazy now),*cuts verse*
shit,disturbia,Rihanna,2009,"I gotta get out, or figure this shit out",I gotta get out or figure this thing out
touch,hate that i love you,Rihanna,2008,You know exactly how to touch,You know exactly what to say
fuck,love on the brain,Rihanna,2017,It beats me black and blue but it fucks me so good,"It makes me feel it's true, but it tricks me so good"
fuck,love on the brain,Rihanna,2017,What do I gotta do to get in your motherfuckin’ heart?,*cuts verse*
fuck,love on the brain,Rihanna,2017,It beats me black and blue but it fucks me so good,"It makes me feel it's true, but it tricks me so good"
die,sos,Rihanna,2006,"Take me on, I could just die up in your arms tonight","Take me, I'ma put the fire in your heart tonight"
sleep,sos,Rihanna,2006,"You got me tossin' and turnin', can't sleep at night",I can't take it see it don't feel right
clothes,take a bow,Rihanna,2009,Grab your clothes and get gone (Get gone),Grab your stuff and get gone
man,umbrella,Rihanna,2007,Jay—Rain Man is back,*cuts verse*
pour,umbrella,Rihanna,2007,It's pourin' rain,*cuts verse*
nigga,work,Rihanna,2016,"I got niggas tryna end me, oh",*cuts verse*
crazy,how do you sleep? (sam smith),Sam Smith,2019,"I am not this desperate, not this crazy","I am not this desperate, not, so ain't me"
drug,brave,Sara Bareilles,2014,You can turn a phrase into a weapon or a drug,You can turn a phrase into a put-down or a hug
weapon,brave,Sara Bareilles,2014,You can turn a phrase into a weapon or a drug,You can turn a phrase into a put-down or a hug
crime,beautiful girls,Sean Kingston,2008,"Oh, when I went away for doin' my first crime","Oh, when I went away I was gone a long time"
damn,beautiful girls,Sean Kingston,2008,"Damn, all these beautiful girls","Hey, all these beautiful girls"
suicidal,beautiful girls,Sean Kingston,2008,"You'll have me suicidal, suicidal","You'll have me in denial, in denial"
suicidal,beautiful girls,Sean Kingston,2008,"They'll have you suicidal, suicidal","They'll have me in denial, in denial"
body,fire burning,Sean Kingston,2009,That body is a masterpiece,That move is a masterpiece
legs,fire burning,Sean Kingston,2009,I'm afraid we'll blow them legs,I'm afraid we'll blow the chance
damn,me love,Sean Kingston,2008,"Damn, why my baby up and gone (Up and gone)",Why my baby up and gone?
kiss,me love,Sean Kingston,2008,We use to kiss and caress an chess me,"We use hang out an' talk, an' trust me, girl"
fight,back to you,Selena Gomez,2018,"And I could fight, but what's the use?",*cuts verse*
addict,come & get it,Selena Gomez,2013,"Maybe I'm addicted for life, no lie","Maybe it's really love for life, no lie"
addict,come & get it,Selena Gomez,2013,"Baby, I'm addicted, no lie, no lie","Baby it's really love, no lie, no lie"
death,come & get it,Selena Gomez,2013,This love will be the death of me,*cuts verse*
die,come & get it,Selena Gomez,2013,But I know I'll die happily,*cuts verse*
blow,same old love,Selena Gomez,2016,"I’m so sick of that same old love, feels like I've blown apart","I'm so sick of that same old love, my heart's had enough"
shit,same old love,Selena Gomez,2016,"I'm so sick of that same old love, that shit, it tears me up","I'm so sick of that same old love, that love, it tears me up"
drunk,wolves,Selena Gomez & Marshmello,2018,"Drunk on a feeling, alone with the stars in the sky","Lost in a feeling, alone with the stars in the sky"
wine,wolves,Selena Gomez & Marshmello,2018,"Water or wine, don't make me choose","Water or food, don't make me choose"
drink,if i can't have you,Shawn Mendes,2019,Can't drink without thinkin' about you,Can't think without thinking about you
drink,in my blood,Shawn Mendes,2018,Just have a drink and you'll feel better,Just have a think and you'll feel better
skin,mercy,Shawn Mendes,2017,Ripping all the skin from off my bones,Feeling all the hurt inside my bones
bleed,stitches,Shawn Mendes,2016,"You watch me bleed until I can't breathe, shaking","You watch me run until I can't breathe, shaking"
naked,there's nothing holdin' me back,Shawn Mendes,2017,Just picture everybody naked,Just picture everybody smiling
body,señorita,Shawn Mendes & Camila Cabello,2019,"Her body fit right in my hands, la-la-la","Her hand, it fit right in my hands, la-la-la"
damn,señorita,Shawn Mendes & Camila Cabello,2019,I wish it wasn't so damn hard to leave ya,"I wish it wasn't so, so hard to leave ya"
kiss,señorita,Shawn Mendes & Camila Cabello,2019,"Ooh, love, your kiss is deadly, don't stop",*cuts verse*
lips,señorita,Shawn Mendes & Camila Cabello,2019,"Ooh, when your lips undress me, hooked on your tongue",*cuts verse*
tequila,señorita,Shawn Mendes & Camila Cabello,2019,Tequila Sunrise,Another sunrise
tongue,señorita,Shawn Mendes & Camila Cabello,2019,"Ooh, when your lips undress me, hooked on your tongue",*cuts verse*
touch,señorita,Shawn Mendes & Camila Cabello,2019,But every touch is ooh-la-la-la,But every day is ooh-la-la-la
undress,señorita,Shawn Mendes & Camila Cabello,2019,"Ooh, when your lips undress me, hooked on your tongue",*cuts verse*
bitch,party like a rockstar,Shop Boyz,2008,"Bitches wanna marry me, they see me they just might panic",*cuts verse*
fuck,party like a rockstar,Shop Boyz,2008,Ho don't you know I fuck wit fine dimes that look like Pamela,*cuts verse*
ice,party like a rockstar,Shop Boyz,2008,"My ice make em go down quick, like the Titanic!",*cuts verse*
bless,the greatest,Sia,2017,"But the strong'll survive, another scar may bless you, ah",*cuts verse*
pray,the greatest,Sia,2017,"Ayy, I work hard, pray hard, pay dues, ayy",*cuts verse*
bras,just got paid (ft. french montana),"Sigala, Ella Eyre & Meghan Trainor",2019,"Sports bras, sports car drive","Sports, yeah, sports car drivers"
drink,just got paid (ft. french montana),"Sigala, Ella Eyre & Meghan Trainor",2019,"I know I drink too much, can't pay my rent this month","I know I think too much, can't pay the rent this month"
wine,just got paid (ft. french montana),"Sigala, Ella Eyre & Meghan Trainor",2019,"Crush grapes, we don't do the wine","These days, we don't have the timin'"
kill,watch me (whip / nae nae),Silento,2015,Now watch me whip (Kill it!),Now watch me whip (Whip it!)
leg,watch me (whip / nae nae),Silento,2015,Do the stanky leg (Stank) do the stanky leg (Stank-stank),*cuts verse*
legs,watch me (whip / nae nae),Silento,2015,Now break your legs (Break 'em) break your legs (Brake the knob),*cuts verse*
clothes,live your life,T.I.,2009,"In fancy clothes, and fancy cars",With fancy clothes and fancy cars
counterfeit,live your life,T.I.,2009,"Allergic to the counterfeit, impartial to the politics",*cuts verse*
crazy,live your life,T.I.,2009,"I never been a hater, still, I love 'em in a crazy way",*cuts verse*
nigga,live your life,T.I.,2009,"Articulate, but still I'll grab a nigga by the collar quick",*cuts verse*
piss,live your life,T.I.,2009,Unhappy with the riches cause you're piss poor morally,*cuts verse*
pray,live your life,T.I.,2009,I pray for patience but they make me wanna melt they face away,*cuts verse*
thug,live your life,T.I.,2009,"Been thuggin' all my life, can't say I don't deserve to take a break",*cuts verse*
fuck,dynamite,Taio Cruz,2011,"Just what the fuck, came here to do, do, do, do (Yeah)","Just what the floor came here to do, do, do, do"
kill,...ready for it?,Taylor Swift,2018,Knew he was a killer first time that I saw him,Knew he was a dancer first time that I saw him
